Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Cabbages,Ext Bag,126,KES2205.00,01/01/2012 12:00:00 AM,0
Horticulture,Cooking Bananas,Med Bunch,22,KES511.00,01/01/2012 12:00:00 AM,1
Horticulture,Ripe Bananas,Med Bunch,14,KES616.00,01/01/2012 12:00:00 AM,2
Horticulture,Carrots,Ext Bag,138,KES2833.00,01/01/2012 12:00:00 AM,3
Horticulture,Tomatoes,Lg Box,64,KES3411.00,01/01/2012 12:00:00 AM,4
Horticulture,Onions Dry,net,13,KES1043.00,01/01/2012 12:00:00 AM,5
Horticulture,Spring Onions,Bag,142,KES1997.00,01/01/2012 12:00:00 AM,6
Horticulture,Chillies,Bag,38,KES2163.00,01/01/2012 12:00:00 AM,7
Horticulture,Cucumber,Bag,50,KES2377.00,01/01/2012 12:00:00 AM,8
Horticulture,Capsicums,Bag,50,KES2349.00,01/01/2012 12:00:00 AM,9
Horticulture,Brinjals,Bag,44,KES1614.00,01/01/2012 12:00:00 AM,10
Horticulture,Cauliflower,crate,39,KES2737.00,01/01/2012 12:00:00 AM,11
Horticulture,Lettuce,Bag,51,KES2833.00,01/01/2012 12:00:00 AM,12
Horticulture,Passion Fruits,Bag,57,KES4063.00,01/01/2012 12:00:00 AM,13
Horticulture,Oranges,Bag,93,KES2757.00,01/01/2012 12:00:00 AM,14
Horticulture,Lemons,Bag,95,KES1445.00,01/01/2012 12:00:00 AM,15
Horticulture,Mangoes Local,Bag,126,KES1514.00,01/01/2012 12:00:00 AM,16
Horticulture,Mangoes Ngowe,Sm Basket,25,KES785.00,01/01/2012 12:00:00 AM,17
Horticulture,Limes,net,13,KES570.00,01/01/2012 12:00:00 AM,18
Horticulture,Pineapples,Dozen,13,KES748.00,01/01/2012 12:00:00 AM,19
Horticulture,Pawpaw,Lg Box,54,KES1392.00,01/01/2012 12:00:00 AM,20
Horticulture,Avocado,Bag,90,KES2232.00,01/01/2012 12:00:00 AM,21
Horticulture,Kales,Bag,50,KES1328.00,01/01/2012 12:00:00 AM,22
Horticulture,Cabbages,Ext Bag,126,KES2739.00,02/01/2012 12:00:00 AM,23
Horticulture,Cooking Bananas,Med Bunch,22,KES531.00,02/01/2012 12:00:00 AM,24
Horticulture,Ripe Bananas,Med Bunch,14,KES570.00,02/01/2012 12:00:00 AM,25
Horticulture,Carrots,Ext Bag,138,KES2754.00,02/01/2012 12:00:00 AM,26
Horticulture,Tomatoes,Lg Box,64,KES4100.00,02/01/2012 12:00:00 AM,27
Horticulture,Onions Dry,net,13,KES863.00,02/01/2012 12:00:00 AM,28
Horticulture,Spring Onions,Bag,142,KES2142.00,02/01/2012 12:00:00 AM,29
Horticulture,Chillies,Bag,38,KES2610.00,02/01/2012 12:00:00 AM,30
Horticulture,Cucumber,Bag,50,KES1598.00,02/01/2012 12:00:00 AM,31
Horticulture,Capsicums,Bag,50,KES2727.00,02/01/2012 12:00:00 AM,32
Horticulture,Brinjals,Bag,44,KES1578.00,02/01/2012 12:00:00 AM,33
Horticulture,Cauliflower,crate,39,KES2933.00,02/01/2012 12:00:00 AM,34
Horticulture,Lettuce,Bag,51,KES2863.00,02/01/2012 12:00:00 AM,35
Horticulture,Passion Fruits,Bag,57,KES3512.00,02/01/2012 12:00:00 AM,36
Horticulture,Oranges,Bag,93,KES2880.00,02/01/2012 12:00:00 AM,37
Horticulture,Lemons,Bag,95,KES1433.00,02/01/2012 12:00:00 AM,38
Horticulture,Mangoes Local,Bag,126,KES1726.00,02/01/2012 12:00:00 AM,39
Horticulture,Mangoes Ngowe,Sm Basket,25,KES817.00,02/01/2012 12:00:00 AM,40
Horticulture,Limes,net,13,KES544.00,02/01/2012 12:00:00 AM,41
Horticulture,Pineapples,Dozen,13,KES695.00,02/01/2012 12:00:00 AM,42
Horticulture,Pawpaw,Lg Box,54,KES1535.00,02/01/2012 12:00:00 AM,43
